"Source:","/Users/annabellejayadinata/phoenix_202324_AV/AVcarrierBoard/AVcarrierBoard.kicad_sch"
"Date:","Monday, March 11, 2024 at 09:42:15 PM"
"Tool:","Eeschema 7.0.9"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","12"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","Batt_2S","Battery","COTS_Boards:BAT_1048P","Multiple-cell battery","",""
"BT2","1","Batt_1S","Battery_Cell","COTS_Boards:1042P_KEY","Single-cell battery","",""
"J1","1","MainRecov","Screw_Terminal_01x04","COTS_Boards:TE_282837-4","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","DrogRecov","Screw_Terminal_01x04","COTS_Boards:TE_282837-4","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4, J5","2","Mech_Switch","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6","1","462070006","462070006","CON_462070006","","",""
"U1","1","EggfinderMini/FeatherGPS","EggfinderMini","COTS_Boards:Featherweight_GPS","","",""
"U2","1","EggtimerQuark","EggtimerQuark","COTS_Boards:EggtimerQuark","","",""
"U3","1","Blue_Raven","Blue_Raven","COTS_Boards:Blue Raven","","",""
"U4, U5","2","WiFi Switch","Eggtimer_WiFi_switch","COTS_Boards:Eggtime_WiFi_switch","","",""
